58,46,45,59,46,53,38,57
61,57,46,51,47,52,53,43
57,44,56,58,45,47,58,63
44,37,38,52,53,45,41,40
59,55,48,50,60,54,57,51
44,47,57,46,52,55,58,47
48,49,53,34,44,59,57,46
64,41,53,47,57,60,37,49
58,49,53,37,54,64,56,51
43,54,54,54,56,52,40,46
55,51,44,47,59,58,54,48
55,50,55,46,67,68,57,37
48,51,53,54,51,53,43,54
52,46,41,42,50,46,56,48
53,44,56,55,46,56,57,44
47,52,45,52,51,63,52,43
54,60,46,47,37,48,49,36
54,49,49,53,51,51,63,61
56,47,46,47,44,46,39,53
58,44,57,57,51,48,60,50
58,55,51,54,57,38,59,67
50,52,45,50,44,52,58,44
58,46,42,61,48,43,41,55
52,53,52,57,44,46,41,49
39,54,52,44,45,48,41,47
46,47,63,63,54,53,52,46
37,56,47,66,45,58,57,54
52,52,48,54,41,57,55,47
53,63,60,54,51,53,56,49
50,45,56,57,41,60,52,52
54,50,53,49,52,60,59,61
57,47,41,53,48,51,61,53
48,37,53,51,39,47,63,59
50,49,45,37,47,50,49,63
53,57,60,57,61,58,67,52
41,63,53,51,35,58,62,44
53,49,53,52,52,44,47,41
59,59,45,33,46,54,38,53
64,70,45,52,60,53,52,53
47,57,45,53,45,50,49,64
48,57,52,63,52,39,72,55
50,38,47,47,58,55,62,48
49,38,50,47,59,58,54,54
68,55,62,48,40,41,51,50
58,45,67,47,49,60,44,54
58,51,44,47,54,60,47,61
39,43,49,43,62,47,48,52
63,47,47,51,53,40,51,43
48,51,54,53,42,44,44,58
54,54,54,51,55,44,40,45
58,60,56,61,46,58,51,50
56,55,53,52,58,47,43,45
38,60,48,54,57,46,46,65
50,57,68,53,70,47,54,46
60,45,63,49,51,61,65,43
54,50,49,60,44,51,47,52
51,45,47,49,47,48,56,43
54,41,45,47,47,43,49,49
51,49,50,39,57,49,48,56
44,57,45,48,55,60,59,55
43,50,47,67,50,53,40,42
61,54,52,61,53,56,57,61
47,54,45,44,51,51,38,44
45,64,48,50,58,51,56,47
59,51,68,48,39,54,51,53
48,51,46,51,50,43,58,46
52,51,39,48,61,53,51,41
51,51,50,50,47,53,50,69
50,45,55,48,41,50,44,55
45,38,43,49,53,52,33,49
58,50,60,44,50,58,57,42
55,41,62,53,53,46,35,55
52,45,43,54,52,41,62,41
44,63,52,68,37,55,59,43
50,55,46,58,52,43,54,48
56,40,40,42,54,45,61,50
49,43,56,51,47,58,40,38
44,50,52,52,57,52,51,59
48,43,48,48,56,55,53,49
45,63,35,54,50,52,42,59
60,50,54,46,55,54,57,40
60,49,37,37,58,52,62,54
54,47,60,52,35,50,45,56
56,39,55,65,48,43,52,51
54,43,62,46,50,35,48,51
44,52,51,61,44,51,58,44
36,48,55,49,54,46,49,40
41,54,51,53,59,45,49,64
51,57,55,56,53,42,66,46
52,44,55,48,49,63,51,54
53,51,59,49,56,47,47,52
52,52,52,56,51,50,49,48
48,55,52,51,47,47,46,44
40,52,63,52,51,55,56,59
48,52,60,45,50,62,51,46
46,33,44,57,50,49,49,42
57,54,60,50,54,44,48,54
48,48,49,50,53,54,65,51
44,44,52,44,42,47,55,54
38,51,49,36,55,52,60,40
51,42,49,60,52,58,43,46
49,53,45,55,38,63,52,42
60,48,61,54,42,49,44,53
53,56,55,52,40,43,40,45
45,52,56,48,47,55,47,60
50,50,65,41,39,49,49,60
50,60,48,48,48,46,66,64
49,45,33,57,38,63,58,44
49,75,40,44,54,49,43,39
42,50,52,50,55,63,40,47
53,51,59,51,47,41,59,48
38,53,61,64,60,48,38,32
35,62,44,35,49,47,55,45
57,36,50,46,53,49,40,48
49,49,47,50,52,42,50,42
54,49,47,40,45,46,53,45
47,58,43,42,40,50,50,44
49,51,57,46,51,45,43,59
48,60,46,51,58,43,54,48
43,50,51,48,40,50,41,63
51,48,46,59,53,47,50,48
48,48,43,54,43,48,45,39
49,64,62,58,57,50,54,52
56,47,62,50,51,56,60,43
45,52,45,46,42,48,46,37
